:START_ID,:END_ID,relation,:TYPE
1500,300,belongsTo,belongsTo
1501,301,belongsTo,belongsTo
1502,302,belongsTo,belongsTo
1503,303,belongsTo,belongsTo
1504,304,belongsTo,belongsTo
1505,305,belongsTo,belongsTo
1503,306,belongsTo,belongsTo
1507,307,belongsTo,belongsTo
1508,308,belongsTo,belongsTo
1509,309,belongsTo,belongsTo
1510,310,belongsTo,belongsTo
1511,311,belongsTo,belongsTo
1512,312,belongsTo,belongsTo
1503,313,belongsTo,belongsTo
1514,314,belongsTo,belongsTo
1515,315,belongsTo,belongsTo
1516,316,belongsTo,belongsTo
1517,317,belongsTo,belongsTo
1518,318,belongsTo,belongsTo
1519,319,belongsTo,belongsTo
1520,320,belongsTo,belongsTo
1521,321,belongsTo,belongsTo
1522,322,belongsTo,belongsTo
1523,323,belongsTo,belongsTo
1524,324,belongsTo,belongsTo
1525,325,belongsTo,belongsTo
1526,326,belongsTo,belongsTo
1527,327,belongsTo,belongsTo
1528,328,belongsTo,belongsTo
1529,329,belongsTo,belongsTo
1530,330,belongsTo,belongsTo
1531,331,belongsTo,belongsTo
1532,332,belongsTo,belongsTo
1533,333,belongsTo,belongsTo
1534,334,belongsTo,belongsTo
1535,335,belongsTo,belongsTo
1536,336,belongsTo,belongsTo
1537,337,belongsTo,belongsTo
1538,338,belongsTo,belongsTo
1539,339,belongsTo,belongsTo
1540,340,belongsTo,belongsTo
1541,341,belongsTo,belongsTo
1542,342,belongsTo,belongsTo
1543,343,belongsTo,belongsTo
1544,344,belongsTo,belongsTo
1545,345,belongsTo,belongsTo
1503,346,belongsTo,belongsTo
1547,347,belongsTo,belongsTo
1503,348,belongsTo,belongsTo
1549,349,belongsTo,belongsTo
1550,350,belongsTo,belongsTo
1551,351,belongsTo,belongsTo
1552,352,belongsTo,belongsTo
1553,353,belongsTo,belongsTo
1503,354,belongsTo,belongsTo
1555,355,belongsTo,belongsTo
1556,356,belongsTo,belongsTo
1503,357,belongsTo,belongsTo
1558,358,belongsTo,belongsTo
1559,359,belongsTo,belongsTo
1560,360,belongsTo,belongsTo
1561,361,belongsTo,belongsTo
1562,362,belongsTo,belongsTo
1563,363,belongsTo,belongsTo
1564,364,belongsTo,belongsTo
1565,365,belongsTo,belongsTo
1566,366,belongsTo,belongsTo
1567,367,belongsTo,belongsTo
1568,368,belongsTo,belongsTo
1503,369,belongsTo,belongsTo
1565,370,belongsTo,belongsTo
1545,371,belongsTo,belongsTo
1572,372,belongsTo,belongsTo
1573,373,belongsTo,belongsTo
1574,374,belongsTo,belongsTo
1575,375,belongsTo,belongsTo
1576,376,belongsTo,belongsTo
1577,377,belongsTo,belongsTo
1578,378,belongsTo,belongsTo
1579,379,belongsTo,belongsTo
1580,380,belongsTo,belongsTo
1581,381,belongsTo,belongsTo
1582,382,belongsTo,belongsTo
1583,383,belongsTo,belongsTo
1584,384,belongsTo,belongsTo
1585,385,belongsTo,belongsTo
1586,386,belongsTo,belongsTo
1587,387,belongsTo,belongsTo
1588,388,belongsTo,belongsTo
1589,389,belongsTo,belongsTo
1590,390,belongsTo,belongsTo
1591,391,belongsTo,belongsTo
1592,392,belongsTo,belongsTo
1593,393,belongsTo,belongsTo
1594,394,belongsTo,belongsTo
1595,395,belongsTo,belongsTo
1596,396,belongsTo,belongsTo
1597,397,belongsTo,belongsTo
1598,398,belongsTo,belongsTo
1599,399,belongsTo,belongsTo
1568,400,belongsTo,belongsTo
1601,401,belongsTo,belongsTo
1602,402,belongsTo,belongsTo
1603,403,belongsTo,belongsTo
1604,404,belongsTo,belongsTo
1605,405,belongsTo,belongsTo
1606,406,belongsTo,belongsTo
1607,407,belongsTo,belongsTo
1608,408,belongsTo,belongsTo
1609,409,belongsTo,belongsTo
1610,410,belongsTo,belongsTo
1611,411,belongsTo,belongsTo
1537,412,belongsTo,belongsTo
1613,413,belongsTo,belongsTo
1614,414,belongsTo,belongsTo
1615,415,belongsTo,belongsTo
1616,416,belongsTo,belongsTo
1617,417,belongsTo,belongsTo
