:START_ID,:END_ID,relation,:TYPE
1200,300,belongsTo,belongsTo
1201,301,belongsTo,belongsTo
1202,302,belongsTo,belongsTo
1203,303,belongsTo,belongsTo
1204,304,belongsTo,belongsTo
1205,305,belongsTo,belongsTo
1206,306,belongsTo,belongsTo
1207,307,belongsTo,belongsTo
1208,308,belongsTo,belongsTo
1209,309,belongsTo,belongsTo
1210,310,belongsTo,belongsTo
1211,311,belongsTo,belongsTo
1212,312,belongsTo,belongsTo
1213,313,belongsTo,belongsTo
1214,314,belongsTo,belongsTo
1215,315,belongsTo,belongsTo
1216,316,belongsTo,belongsTo
1217,317,belongsTo,belongsTo
1218,318,belongsTo,belongsTo
1219,319,belongsTo,belongsTo
1220,320,belongsTo,belongsTo
1221,321,belongsTo,belongsTo
1222,322,belongsTo,belongsTo
1223,323,belongsTo,belongsTo
1224,324,belongsTo,belongsTo
1225,325,belongsTo,belongsTo
1226,326,belongsTo,belongsTo
1227,327,belongsTo,belongsTo
1228,328,belongsTo,belongsTo
1229,329,belongsTo,belongsTo
1230,330,belongsTo,belongsTo
1231,331,belongsTo,belongsTo
1232,332,belongsTo,belongsTo
1233,333,belongsTo,belongsTo
1234,334,belongsTo,belongsTo
1235,335,belongsTo,belongsTo
1236,336,belongsTo,belongsTo
1237,337,belongsTo,belongsTo
1238,338,belongsTo,belongsTo
1239,339,belongsTo,belongsTo
1240,340,belongsTo,belongsTo
1241,341,belongsTo,belongsTo
1242,342,belongsTo,belongsTo
1243,343,belongsTo,belongsTo
1244,344,belongsTo,belongsTo
1245,345,belongsTo,belongsTo
1246,346,belongsTo,belongsTo
1247,347,belongsTo,belongsTo
1248,348,belongsTo,belongsTo
1249,349,belongsTo,belongsTo
1250,350,belongsTo,belongsTo
1251,351,belongsTo,belongsTo
1252,352,belongsTo,belongsTo
1253,353,belongsTo,belongsTo
1254,354,belongsTo,belongsTo
1255,355,belongsTo,belongsTo
1256,356,belongsTo,belongsTo
1257,357,belongsTo,belongsTo
1258,358,belongsTo,belongsTo
1259,359,belongsTo,belongsTo
1260,360,belongsTo,belongsTo
1261,361,belongsTo,belongsTo
1262,362,belongsTo,belongsTo
1263,363,belongsTo,belongsTo
1264,364,belongsTo,belongsTo
1265,365,belongsTo,belongsTo
1266,366,belongsTo,belongsTo
1267,367,belongsTo,belongsTo
1268,368,belongsTo,belongsTo
1269,369,belongsTo,belongsTo
1270,370,belongsTo,belongsTo
1271,371,belongsTo,belongsTo
1272,372,belongsTo,belongsTo
1273,373,belongsTo,belongsTo
1274,374,belongsTo,belongsTo
1271,375,belongsTo,belongsTo
1276,376,belongsTo,belongsTo
1277,377,belongsTo,belongsTo
1278,378,belongsTo,belongsTo
1279,379,belongsTo,belongsTo
1280,380,belongsTo,belongsTo
1281,381,belongsTo,belongsTo
1282,382,belongsTo,belongsTo
1283,383,belongsTo,belongsTo
1284,384,belongsTo,belongsTo
1285,385,belongsTo,belongsTo
1286,386,belongsTo,belongsTo
1287,387,belongsTo,belongsTo
1288,388,belongsTo,belongsTo
1289,389,belongsTo,belongsTo
1290,390,belongsTo,belongsTo
1291,391,belongsTo,belongsTo
1292,392,belongsTo,belongsTo
1293,393,belongsTo,belongsTo
1294,394,belongsTo,belongsTo
1295,395,belongsTo,belongsTo
1296,396,belongsTo,belongsTo
1297,397,belongsTo,belongsTo
1298,398,belongsTo,belongsTo
1299,399,belongsTo,belongsTo
1300,400,belongsTo,belongsTo
1301,401,belongsTo,belongsTo
1302,402,belongsTo,belongsTo
1303,403,belongsTo,belongsTo
1304,404,belongsTo,belongsTo
1305,405,belongsTo,belongsTo
1306,406,belongsTo,belongsTo
1307,407,belongsTo,belongsTo
1308,408,belongsTo,belongsTo
1309,409,belongsTo,belongsTo
1310,410,belongsTo,belongsTo
1311,411,belongsTo,belongsTo
1312,412,belongsTo,belongsTo
1313,413,belongsTo,belongsTo
1314,414,belongsTo,belongsTo
1315,415,belongsTo,belongsTo
1316,416,belongsTo,belongsTo
1317,417,belongsTo,belongsTo
1318,418,belongsTo,belongsTo
1319,419,belongsTo,belongsTo
1246,420,belongsTo,belongsTo
1321,421,belongsTo,belongsTo
1322,422,belongsTo,belongsTo
1323,423,belongsTo,belongsTo
1324,424,belongsTo,belongsTo
1325,425,belongsTo,belongsTo
1206,426,belongsTo,belongsTo
1327,427,belongsTo,belongsTo
1328,428,belongsTo,belongsTo
1329,429,belongsTo,belongsTo
1330,430,belongsTo,belongsTo
1331,431,belongsTo,belongsTo
1332,432,belongsTo,belongsTo
1333,433,belongsTo,belongsTo
1334,434,belongsTo,belongsTo
1335,435,belongsTo,belongsTo
1336,436,belongsTo,belongsTo
1337,437,belongsTo,belongsTo
1338,438,belongsTo,belongsTo
1339,439,belongsTo,belongsTo
1340,440,belongsTo,belongsTo
1341,441,belongsTo,belongsTo
1342,442,belongsTo,belongsTo
1343,443,belongsTo,belongsTo
1344,444,belongsTo,belongsTo
1345,445,belongsTo,belongsTo
1346,446,belongsTo,belongsTo
1347,447,belongsTo,belongsTo
1348,448,belongsTo,belongsTo
1349,449,belongsTo,belongsTo
1350,450,belongsTo,belongsTo
1351,451,belongsTo,belongsTo
1352,452,belongsTo,belongsTo
1353,453,belongsTo,belongsTo
1354,454,belongsTo,belongsTo
1355,455,belongsTo,belongsTo
1356,456,belongsTo,belongsTo
1357,457,belongsTo,belongsTo
1358,458,belongsTo,belongsTo
1359,459,belongsTo,belongsTo
1360,460,belongsTo,belongsTo
1324,461,belongsTo,belongsTo
1351,462,belongsTo,belongsTo
1351,463,belongsTo,belongsTo
1364,464,belongsTo,belongsTo
1365,465,belongsTo,belongsTo
1366,466,belongsTo,belongsTo
1367,467,belongsTo,belongsTo
1368,468,belongsTo,belongsTo
1369,469,belongsTo,belongsTo
1370,470,belongsTo,belongsTo
1371,471,belongsTo,belongsTo
1372,472,belongsTo,belongsTo
1373,473,belongsTo,belongsTo
1203,474,belongsTo,belongsTo
1203,475,belongsTo,belongsTo
1376,476,belongsTo,belongsTo
1377,477,belongsTo,belongsTo
1378,478,belongsTo,belongsTo
1379,479,belongsTo,belongsTo
1380,480,belongsTo,belongsTo
1381,481,belongsTo,belongsTo
1382,482,belongsTo,belongsTo
1383,483,belongsTo,belongsTo
1384,484,belongsTo,belongsTo
1385,485,belongsTo,belongsTo
1373,486,belongsTo,belongsTo
1387,487,belongsTo,belongsTo
1388,488,belongsTo,belongsTo
1389,489,belongsTo,belongsTo
1390,490,belongsTo,belongsTo
1391,491,belongsTo,belongsTo
1369,492,belongsTo,belongsTo
1393,493,belongsTo,belongsTo
1394,494,belongsTo,belongsTo
1395,495,belongsTo,belongsTo
1396,496,belongsTo,belongsTo
1397,497,belongsTo,belongsTo
1398,498,belongsTo,belongsTo
1399,499,belongsTo,belongsTo
1400,500,belongsTo,belongsTo
1401,501,belongsTo,belongsTo
1402,502,belongsTo,belongsTo
1403,503,belongsTo,belongsTo
1404,504,belongsTo,belongsTo
1405,505,belongsTo,belongsTo
1406,506,belongsTo,belongsTo
