index:ID,name,number,update,country,continent,:LABEL
1200,累计治愈,4506,2020-06-23,塔吉克斯坦,亚洲,cured
1201,累计治愈,37076,2020-06-23,阿拉伯联合酋长国,亚洲,cured
1202,累计治愈,432,2020-06-23,也门,亚洲,cured
1203,累计治愈,19,2020-06-23,老挝,亚洲,cured
1204,累计治愈,221,2020-06-23,缅甸,亚洲,cured
1205,累计治愈,102,2020-06-23,叙利亚,亚洲,cured
1206,累计治愈,24,2020-06-23,东帝汶,亚洲,cured
1207,累计治愈,2294,2020-06-23,吉尔吉斯斯坦,亚洲,cured
1208,累计治愈,5496,2020-06-23,乌兹别克斯坦,亚洲,cured
1209,累计治愈,13008,2020-06-23,哈萨克斯坦,亚洲,cured
1210,累计治愈,171809,2020-06-23,土耳其,亚洲,cured
1211,累计治愈,175,2020-06-23,蒙古国,亚洲,cured
1212,累计治愈,833,2020-06-23,塞浦路斯,亚洲,cured
1213,累计治愈,138,2020-06-23,文莱,亚洲,cured
1214,累计治愈,57780,2020-06-23,孟加拉国,亚洲,cured
1215,累计治愈,1927,2020-06-23,马尔代夫,亚洲,cured
1216,累计治愈,44,2020-06-23,不丹,亚洲,cured
1217,累计治愈,447,2020-06-23,巴勒斯坦,亚洲,cured
1218,累计治愈,127118,2020-06-23,沙特阿拉伯,亚洲,cured
1219,累计治愈,867,2020-06-23,约旦,亚洲,cured
1220,累计治愈,23800,2020-06-23,印度尼西亚,亚洲,cured
1221,累计治愈,13297,2020-06-23,亚美尼亚,亚洲,cured
1222,累计治愈,80170,2020-06-23,卡塔尔,亚洲,cured
1223,累计治愈,9369,2020-06-23,阿塞拜疆,亚洲,cured
1224,累计治愈,791,2020-06-23,格鲁吉亚,亚洲,cured
1225,累计治愈,95407,2020-06-23,巴基斯坦,亚洲,cured
1226,累计治愈,22422,2020-06-23,阿曼,亚洲,cured
1227,累计治愈,13934,2020-06-23,阿富汗,亚洲,cured
1228,累计治愈,20928,2020-06-23,巴林,亚洲,cured
1229,累计治愈,36313,2020-06-23,科威特,亚洲,cured
1230,累计治愈,22974,2020-06-23,伊拉克,亚洲,cured
1231,累计治愈,1170,2020-06-23,黎巴嫩,亚洲,cured
1232,累计治愈,17218,2020-06-23,以色列,亚洲,cured
1233,累计治愈,186180,2020-06-23,伊朗,亚洲,cured
1234,累计治愈,335271,2020-06-23,印度,亚洲,cured
1235,累计治愈,9956,2020-06-23,菲律宾,亚洲,cured
1236,累计治愈,1678,2020-06-23,斯里兰卡,亚洲,cured
1237,累计治愈,130,2020-06-23,柬埔寨,亚洲,cured
1238,累计治愈,3134,2020-06-23,尼泊尔,亚洲,cured
1239,累计治愈,335,2020-06-23,越南,亚洲,cured
1240,累计治愈,11537,2020-06-23,韩国,亚洲,cured
1241,累计治愈,8334,2020-06-23,马来西亚,亚洲,cured
1242,累计治愈,16557,2020-06-23,日本,亚洲,cured
