:START_ID,:END_ID,relation,:TYPE
80,40,belongsTo,belongsTo
81,41,belongsTo,belongsTo
82,42,belongsTo,belongsTo
83,43,belongsTo,belongsTo
84,44,belongsTo,belongsTo
85,45,belongsTo,belongsTo
86,46,belongsTo,belongsTo
87,47,belongsTo,belongsTo
88,48,belongsTo,belongsTo
89,49,belongsTo,belongsTo
90,50,belongsTo,belongsTo
91,51,belongsTo,belongsTo
92,52,belongsTo,belongsTo
93,53,belongsTo,belongsTo
94,54,belongsTo,belongsTo
95,55,belongsTo,belongsTo
96,56,belongsTo,belongsTo
97,57,belongsTo,belongsTo
98,58,belongsTo,belongsTo
99,59,belongsTo,belongsTo
100,60,belongsTo,belongsTo
101,61,belongsTo,belongsTo
102,62,belongsTo,belongsTo
103,63,belongsTo,belongsTo
104,64,belongsTo,belongsTo
105,65,belongsTo,belongsTo
106,66,belongsTo,belongsTo
107,67,belongsTo,belongsTo
108,68,belongsTo,belongsTo
109,69,belongsTo,belongsTo
110,70,belongsTo,belongsTo
111,71,belongsTo,belongsTo
112,72,belongsTo,belongsTo
113,73,belongsTo,belongsTo
