:START_ID,:END_ID,relation,:TYPE
160,40,belongsTo,belongsTo
161,41,belongsTo,belongsTo
162,42,belongsTo,belongsTo
163,43,belongsTo,belongsTo
164,44,belongsTo,belongsTo
165,45,belongsTo,belongsTo
166,46,belongsTo,belongsTo
167,47,belongsTo,belongsTo
168,48,belongsTo,belongsTo
169,49,belongsTo,belongsTo
170,50,belongsTo,belongsTo
171,51,belongsTo,belongsTo
172,52,belongsTo,belongsTo
173,53,belongsTo,belongsTo
174,54,belongsTo,belongsTo
175,55,belongsTo,belongsTo
176,56,belongsTo,belongsTo
177,57,belongsTo,belongsTo
178,58,belongsTo,belongsTo
179,59,belongsTo,belongsTo
180,60,belongsTo,belongsTo
181,61,belongsTo,belongsTo
182,62,belongsTo,belongsTo
183,63,belongsTo,belongsTo
184,64,belongsTo,belongsTo
185,65,belongsTo,belongsTo
186,66,belongsTo,belongsTo
187,67,belongsTo,belongsTo
188,68,belongsTo,belongsTo
189,69,belongsTo,belongsTo
190,70,belongsTo,belongsTo
191,71,belongsTo,belongsTo
192,72,belongsTo,belongsTo
193,73,belongsTo,belongsTo
