:START_ID,:END_ID,relation,:TYPE
120,40,belongsTo,belongsTo
121,41,belongsTo,belongsTo
122,42,belongsTo,belongsTo
123,43,belongsTo,belongsTo
124,44,belongsTo,belongsTo
125,45,belongsTo,belongsTo
126,46,belongsTo,belongsTo
127,47,belongsTo,belongsTo
128,48,belongsTo,belongsTo
129,49,belongsTo,belongsTo
130,50,belongsTo,belongsTo
131,51,belongsTo,belongsTo
132,52,belongsTo,belongsTo
133,53,belongsTo,belongsTo
134,54,belongsTo,belongsTo
135,55,belongsTo,belongsTo
136,56,belongsTo,belongsTo
137,57,belongsTo,belongsTo
138,58,belongsTo,belongsTo
139,59,belongsTo,belongsTo
140,60,belongsTo,belongsTo
141,61,belongsTo,belongsTo
142,62,belongsTo,belongsTo
143,63,belongsTo,belongsTo
144,64,belongsTo,belongsTo
145,65,belongsTo,belongsTo
146,66,belongsTo,belongsTo
147,67,belongsTo,belongsTo
148,68,belongsTo,belongsTo
149,69,belongsTo,belongsTo
150,70,belongsTo,belongsTo
151,71,belongsTo,belongsTo
152,72,belongsTo,belongsTo
153,73,belongsTo,belongsTo
