index:ID,name,number,update,province,:LABEL
80,累计确诊,1,2020-06-23,西藏,confirmed
81,累计确诊,46,2020-06-23,澳门,confirmed
82,累计确诊,18,2020-06-23,青海,confirmed
83,累计确诊,447,2020-06-23,台湾,confirmed
84,累计确诊,1203,2020-06-23,香港,confirmed
85,累计确诊,147,2020-06-23,贵州,confirmed
86,累计确诊,155,2020-06-23,吉林,confirmed
87,累计确诊,76,2020-06-23,新疆,confirmed
88,累计确诊,75,2020-06-23,宁夏,confirmed
89,累计确诊,238,2020-06-23,内蒙古,confirmed
90,累计确诊,164,2020-06-23,甘肃,confirmed
91,累计确诊,198,2020-06-23,天津,confirmed
92,累计确诊,198,2020-06-23,山西,confirmed
93,累计确诊,155,2020-06-23,辽宁,confirmed
94,累计确诊,947,2020-06-23,黑龙江,confirmed
95,累计确诊,171,2020-06-23,海南,confirmed
96,累计确诊,349,2020-06-23,河北,confirmed
97,累计确诊,320,2020-06-23,陕西,confirmed
98,累计确诊,185,2020-06-23,云南,confirmed
99,累计确诊,254,2020-06-23,广西,confirmed
100,累计确诊,363,2020-06-23,福建,confirmed
101,累计确诊,712,2020-06-23,上海,confirmed
102,累计确诊,919,2020-06-23,北京,confirmed
103,累计确诊,654,2020-06-23,江苏,confirmed
104,累计确诊,595,2020-06-23,四川,confirmed
105,累计确诊,792,2020-06-23,山东,confirmed
106,累计确诊,932,2020-06-23,江西,confirmed
107,累计确诊,582,2020-06-23,重庆,confirmed
108,累计确诊,991,2020-06-23,安徽,confirmed
109,累计确诊,1019,2020-06-23,湖南,confirmed
110,累计确诊,1276,2020-06-23,河南,confirmed
111,累计确诊,1641,2020-06-23,广东,confirmed
112,累计确诊,1269,2020-06-23,浙江,confirmed
113,累计确诊,68135,2020-06-23,湖北,confirmed
