:START_ID,:END_ID,relation,:TYPE
600,300,belongsTo,belongsTo
601,301,belongsTo,belongsTo
602,302,belongsTo,belongsTo
603,303,belongsTo,belongsTo
604,304,belongsTo,belongsTo
605,305,belongsTo,belongsTo
606,306,belongsTo,belongsTo
607,307,belongsTo,belongsTo
608,308,belongsTo,belongsTo
609,309,belongsTo,belongsTo
610,310,belongsTo,belongsTo
611,311,belongsTo,belongsTo
612,312,belongsTo,belongsTo
613,313,belongsTo,belongsTo
614,314,belongsTo,belongsTo
615,315,belongsTo,belongsTo
616,316,belongsTo,belongsTo
617,317,belongsTo,belongsTo
618,318,belongsTo,belongsTo
619,319,belongsTo,belongsTo
620,320,belongsTo,belongsTo
621,321,belongsTo,belongsTo
622,322,belongsTo,belongsTo
623,323,belongsTo,belongsTo
624,324,belongsTo,belongsTo
625,325,belongsTo,belongsTo
626,326,belongsTo,belongsTo
627,327,belongsTo,belongsTo
628,328,belongsTo,belongsTo
629,329,belongsTo,belongsTo
630,330,belongsTo,belongsTo
631,331,belongsTo,belongsTo
632,332,belongsTo,belongsTo
633,333,belongsTo,belongsTo
634,334,belongsTo,belongsTo
635,335,belongsTo,belongsTo
636,336,belongsTo,belongsTo
637,337,belongsTo,belongsTo
638,338,belongsTo,belongsTo
639,339,belongsTo,belongsTo
640,340,belongsTo,belongsTo
641,341,belongsTo,belongsTo
642,342,belongsTo,belongsTo
643,343,belongsTo,belongsTo
644,344,belongsTo,belongsTo
645,345,belongsTo,belongsTo
646,346,belongsTo,belongsTo
647,347,belongsTo,belongsTo
648,348,belongsTo,belongsTo
649,349,belongsTo,belongsTo
650,350,belongsTo,belongsTo
651,351,belongsTo,belongsTo
652,352,belongsTo,belongsTo
653,353,belongsTo,belongsTo
654,354,belongsTo,belongsTo
655,355,belongsTo,belongsTo
656,356,belongsTo,belongsTo
657,357,belongsTo,belongsTo
658,358,belongsTo,belongsTo
659,359,belongsTo,belongsTo
660,360,belongsTo,belongsTo
661,361,belongsTo,belongsTo
662,362,belongsTo,belongsTo
663,363,belongsTo,belongsTo
664,364,belongsTo,belongsTo
665,365,belongsTo,belongsTo
666,366,belongsTo,belongsTo
667,367,belongsTo,belongsTo
668,368,belongsTo,belongsTo
669,369,belongsTo,belongsTo
670,370,belongsTo,belongsTo
671,371,belongsTo,belongsTo
672,372,belongsTo,belongsTo
673,373,belongsTo,belongsTo
674,374,belongsTo,belongsTo
675,375,belongsTo,belongsTo
676,376,belongsTo,belongsTo
677,377,belongsTo,belongsTo
678,378,belongsTo,belongsTo
679,379,belongsTo,belongsTo
680,380,belongsTo,belongsTo
681,381,belongsTo,belongsTo
682,382,belongsTo,belongsTo
683,383,belongsTo,belongsTo
684,384,belongsTo,belongsTo
685,385,belongsTo,belongsTo
686,386,belongsTo,belongsTo
687,387,belongsTo,belongsTo
688,388,belongsTo,belongsTo
689,389,belongsTo,belongsTo
690,390,belongsTo,belongsTo
691,391,belongsTo,belongsTo
692,392,belongsTo,belongsTo
693,393,belongsTo,belongsTo
694,394,belongsTo,belongsTo
695,395,belongsTo,belongsTo
696,396,belongsTo,belongsTo
697,397,belongsTo,belongsTo
698,398,belongsTo,belongsTo
699,399,belongsTo,belongsTo
700,400,belongsTo,belongsTo
701,401,belongsTo,belongsTo
702,402,belongsTo,belongsTo
703,403,belongsTo,belongsTo
704,404,belongsTo,belongsTo
705,405,belongsTo,belongsTo
706,406,belongsTo,belongsTo
707,407,belongsTo,belongsTo
708,408,belongsTo,belongsTo
709,409,belongsTo,belongsTo
710,410,belongsTo,belongsTo
711,411,belongsTo,belongsTo
712,412,belongsTo,belongsTo
713,413,belongsTo,belongsTo
714,414,belongsTo,belongsTo
715,415,belongsTo,belongsTo
716,416,belongsTo,belongsTo
717,417,belongsTo,belongsTo
718,418,belongsTo,belongsTo
719,419,belongsTo,belongsTo
720,420,belongsTo,belongsTo
721,421,belongsTo,belongsTo
722,422,belongsTo,belongsTo
723,423,belongsTo,belongsTo
724,424,belongsTo,belongsTo
725,425,belongsTo,belongsTo
726,426,belongsTo,belongsTo
727,427,belongsTo,belongsTo
728,428,belongsTo,belongsTo
729,429,belongsTo,belongsTo
730,430,belongsTo,belongsTo
731,431,belongsTo,belongsTo
732,432,belongsTo,belongsTo
733,433,belongsTo,belongsTo
734,434,belongsTo,belongsTo
735,435,belongsTo,belongsTo
736,436,belongsTo,belongsTo
737,437,belongsTo,belongsTo
738,438,belongsTo,belongsTo
739,439,belongsTo,belongsTo
740,440,belongsTo,belongsTo
741,441,belongsTo,belongsTo
742,442,belongsTo,belongsTo
743,443,belongsTo,belongsTo
744,444,belongsTo,belongsTo
745,445,belongsTo,belongsTo
746,446,belongsTo,belongsTo
747,447,belongsTo,belongsTo
748,448,belongsTo,belongsTo
749,449,belongsTo,belongsTo
750,450,belongsTo,belongsTo
751,451,belongsTo,belongsTo
752,452,belongsTo,belongsTo
753,453,belongsTo,belongsTo
754,454,belongsTo,belongsTo
755,455,belongsTo,belongsTo
756,456,belongsTo,belongsTo
757,457,belongsTo,belongsTo
758,458,belongsTo,belongsTo
759,459,belongsTo,belongsTo
760,460,belongsTo,belongsTo
761,461,belongsTo,belongsTo
762,462,belongsTo,belongsTo
763,463,belongsTo,belongsTo
764,464,belongsTo,belongsTo
765,465,belongsTo,belongsTo
766,466,belongsTo,belongsTo
767,467,belongsTo,belongsTo
768,468,belongsTo,belongsTo
769,469,belongsTo,belongsTo
770,470,belongsTo,belongsTo
771,471,belongsTo,belongsTo
772,472,belongsTo,belongsTo
773,473,belongsTo,belongsTo
774,474,belongsTo,belongsTo
775,475,belongsTo,belongsTo
776,476,belongsTo,belongsTo
777,477,belongsTo,belongsTo
778,478,belongsTo,belongsTo
779,479,belongsTo,belongsTo
780,480,belongsTo,belongsTo
781,481,belongsTo,belongsTo
782,482,belongsTo,belongsTo
783,483,belongsTo,belongsTo
784,484,belongsTo,belongsTo
785,485,belongsTo,belongsTo
786,486,belongsTo,belongsTo
787,487,belongsTo,belongsTo
788,488,belongsTo,belongsTo
789,489,belongsTo,belongsTo
790,490,belongsTo,belongsTo
791,491,belongsTo,belongsTo
792,492,belongsTo,belongsTo
793,493,belongsTo,belongsTo
794,494,belongsTo,belongsTo
795,495,belongsTo,belongsTo
796,496,belongsTo,belongsTo
797,497,belongsTo,belongsTo
798,498,belongsTo,belongsTo
799,499,belongsTo,belongsTo
800,500,belongsTo,belongsTo
801,501,belongsTo,belongsTo
802,502,belongsTo,belongsTo
803,503,belongsTo,belongsTo
804,504,belongsTo,belongsTo
805,505,belongsTo,belongsTo
806,506,belongsTo,belongsTo
