:START_ID,:END_ID,relation,:TYPE
900,300,belongsTo,belongsTo
901,301,belongsTo,belongsTo
902,302,belongsTo,belongsTo
903,303,belongsTo,belongsTo
904,304,belongsTo,belongsTo
905,305,belongsTo,belongsTo
906,306,belongsTo,belongsTo
907,307,belongsTo,belongsTo
908,308,belongsTo,belongsTo
909,309,belongsTo,belongsTo
910,310,belongsTo,belongsTo
911,311,belongsTo,belongsTo
912,312,belongsTo,belongsTo
913,313,belongsTo,belongsTo
914,314,belongsTo,belongsTo
915,315,belongsTo,belongsTo
916,316,belongsTo,belongsTo
917,317,belongsTo,belongsTo
918,318,belongsTo,belongsTo
919,319,belongsTo,belongsTo
920,320,belongsTo,belongsTo
921,321,belongsTo,belongsTo
922,322,belongsTo,belongsTo
923,323,belongsTo,belongsTo
924,324,belongsTo,belongsTo
925,325,belongsTo,belongsTo
926,326,belongsTo,belongsTo
927,327,belongsTo,belongsTo
928,328,belongsTo,belongsTo
929,329,belongsTo,belongsTo
930,330,belongsTo,belongsTo
931,331,belongsTo,belongsTo
932,332,belongsTo,belongsTo
933,333,belongsTo,belongsTo
934,334,belongsTo,belongsTo
935,335,belongsTo,belongsTo
936,336,belongsTo,belongsTo
937,337,belongsTo,belongsTo
938,338,belongsTo,belongsTo
939,339,belongsTo,belongsTo
940,340,belongsTo,belongsTo
941,341,belongsTo,belongsTo
942,342,belongsTo,belongsTo
943,343,belongsTo,belongsTo
944,344,belongsTo,belongsTo
945,345,belongsTo,belongsTo
946,346,belongsTo,belongsTo
947,347,belongsTo,belongsTo
948,348,belongsTo,belongsTo
949,349,belongsTo,belongsTo
950,350,belongsTo,belongsTo
951,351,belongsTo,belongsTo
952,352,belongsTo,belongsTo
953,353,belongsTo,belongsTo
954,354,belongsTo,belongsTo
955,355,belongsTo,belongsTo
956,356,belongsTo,belongsTo
957,357,belongsTo,belongsTo
958,358,belongsTo,belongsTo
959,359,belongsTo,belongsTo
960,360,belongsTo,belongsTo
961,361,belongsTo,belongsTo
962,362,belongsTo,belongsTo
963,363,belongsTo,belongsTo
964,364,belongsTo,belongsTo
965,365,belongsTo,belongsTo
966,366,belongsTo,belongsTo
967,367,belongsTo,belongsTo
968,368,belongsTo,belongsTo
969,369,belongsTo,belongsTo
