index:ID,name,number,update,country,continent,:LABEL
900,累计死亡,52,2020-06-23,塔吉克斯坦,亚洲,died
901,累计死亡,314,2020-06-23,阿拉伯联合酋长国,亚洲,died
902,累计死亡,304,2020-06-23,也门,亚洲,died
903,累计死亡,0,2020-06-23,老挝,亚洲,died
904,累计死亡,6,2020-06-23,缅甸,亚洲,died
905,累计死亡,9,2020-06-23,叙利亚,亚洲,died
906,累计死亡,0,2020-06-23,东帝汶,亚洲,died
907,累计死亡,50,2020-06-23,吉尔吉斯斯坦,亚洲,died
908,累计死亡,23,2020-06-23,乌兹别克斯坦,亚洲,died
909,累计死亡,188,2020-06-23,哈萨克斯坦,亚洲,died
910,累计死亡,5115,2020-06-23,土耳其,亚洲,died
911,累计死亡,0,2020-06-23,蒙古国,亚洲,died
912,累计死亡,19,2020-06-23,塞浦路斯,亚洲,died
913,累计死亡,3,2020-06-23,文莱,亚洲,died
914,累计死亡,1783,2020-06-23,孟加拉国,亚洲,died
915,累计死亡,8,2020-06-23,马尔代夫,亚洲,died
916,累计死亡,0,2020-06-23,不丹,亚洲,died
917,累计死亡,5,2020-06-23,巴勒斯坦,亚洲,died
918,累计死亡,1599,2020-06-23,沙特阿拉伯,亚洲,died
919,累计死亡,9,2020-06-23,约旦,亚洲,died
920,累计死亡,2805,2020-06-23,印度尼西亚,亚洲,died
921,累计死亡,433,2020-06-23,亚美尼亚,亚洲,died
922,累计死亡,113,2020-06-23,卡塔尔,亚洲,died
923,累计死亡,206,2020-06-23,阿塞拜疆,亚洲,died
924,累计死亡,15,2020-06-23,格鲁吉亚,亚洲,died
925,累计死亡,4167,2020-06-23,巴基斯坦,亚洲,died
926,累计死亡,169,2020-06-23,阿曼,亚洲,died
927,累计死亡,733,2020-06-23,阿富汗,亚洲,died
928,累计死亡,84,2020-06-23,巴林,亚洲,died
929,累计死亡,350,2020-06-23,科威特,亚洲,died
930,累计死亡,1839,2020-06-23,伊拉克,亚洲,died
931,累计死亡,34,2020-06-23,黎巴嫩,亚洲,died
932,累计死亡,319,2020-06-23,以色列,亚洲,died
933,累计死亡,10670,2020-06-23,伊朗,亚洲,died
934,累计死亡,16904,2020-06-23,印度,亚洲,died
935,累计死亡,1255,2020-06-23,菲律宾,亚洲,died
936,累计死亡,11,2020-06-23,斯里兰卡,亚洲,died
937,累计死亡,0,2020-06-23,柬埔寨,亚洲,died
938,累计死亡,29,2020-06-23,尼泊尔,亚洲,died
939,累计死亡,0,2020-06-23,越南,亚洲,died
940,累计死亡,282,2020-06-23,韩国,亚洲,died
941,累计死亡,121,2020-06-23,马来西亚,亚洲,died
942,累计死亡,972,2020-06-23,日本,亚洲,died
943,累计死亡,26,2020-06-23,新加坡,亚洲,died
944,累计死亡,58,2020-06-23,泰国,亚洲,died
945,累计死亡,47,2020-06-23,海峡群岛,欧洲,died
946,累计死亡,24,2020-06-23,马恩岛,欧洲,died
947,累计死亡,11,2020-06-23,黑山,欧洲,died
948,累计死亡,0,2020-06-23,法罗群岛,欧洲,died
949,累计死亡,58,2020-06-23,阿尔巴尼亚,欧洲,died
950,累计死亡,223,2020-06-23,保加利亚,欧洲,died
951,累计死亡,536,2020-06-23,摩尔多瓦,欧洲,died
952,累计死亡,9,2020-06-23,马耳他,欧洲,died
953,累计死亡,28,2020-06-23,斯洛伐克,欧洲,died
954,累计死亡,0,2020-06-23,梵蒂冈,欧洲,died
955,累计死亡,274,2020-06-23,塞尔维亚,欧洲,died
956,累计死亡,0,2020-06-23,直布罗陀,欧洲,died
957,累计死亡,1,2020-06-23,列支敦士登,欧洲,died
958,累计死亡,184,2020-06-23,波黑,欧洲,died
959,累计死亡,585,2020-06-23,匈牙利,欧洲,died
960,累计死亡,111,2020-06-23,斯洛文尼亚,欧洲,died
961,累计死亡,1444,2020-06-23,波兰,欧洲,died
962,累计死亡,1147,2020-06-23,乌克兰,欧洲,died
963,累计死亡,30,2020-06-23,拉脱维亚,欧洲,died
964,累计死亡,1568,2020-06-23,葡萄牙,欧洲,died
965,累计死亡,52,2020-06-23,安道尔,欧洲,died
966,累计死亡,348,2020-06-23,捷克,欧洲,died
967,累计死亡,1735,2020-06-23,爱尔兰,欧洲,died
968,累计死亡,110,2020-06-23,卢森堡,欧洲,died
969,累计死亡,42,2020-06-23,圣马力诺,欧洲,died
970,累计死亡,4,2020-06-23,摩纳哥,欧洲,died
971,累计死亡,10,2020-06-23,冰岛,欧洲,died
972,累计死亡,387,2020-06-23,白俄罗斯,欧洲,died
973,累计死亡,78,2020-06-23,立陶宛,欧洲,died
974,累计死亡,6107,2020-06-23,荷兰,欧洲,died
975,累计死亡,69,2020-06-23,爱沙尼亚,欧洲,died
976,累计死亡,605,2020-06-23,丹麦,欧洲,died
977,累计死亡,1634,2020-06-23,罗马尼亚,欧洲,died
978,累计死亡,298,2020-06-23,北马其顿,欧洲,died
979,累计死亡,249,2020-06-23,挪威,欧洲,died
980,累计死亡,191,2020-06-23,希腊,欧洲,died
981,累计死亡,1962,2020-06-23,瑞士,欧洲,died
982,累计死亡,107,2020-06-23,克罗地亚,欧洲,died
983,累计死亡,703,2020-06-23,奥地利,欧洲,died
984,累计死亡,9732,2020-06-23,比利时,欧洲,died
985,累计死亡,28346,2020-06-23,西班牙,欧洲,died
986,累计死亡,5310,2020-06-23,瑞典,欧洲,died
987,累计死亡,9166,2020-06-23,俄罗斯,欧洲,died
988,累计死亡,43575,2020-06-23,英国,欧洲,died
989,累计死亡,34744,2020-06-23,意大利,欧洲,died
990,累计死亡,328,2020-06-23,芬兰,欧洲,died
991,累计死亡,9041,2020-06-23,德国,欧洲,died
992,累计死亡,29813,2020-06-23,法国,欧洲,died
